KBBASE_SIZE,FACT_PROB,NEG_PROB,DRULE_PROB,MAX_RULESPERHEAD,MAX_BODYSIZE,MIN_ARGSLEVEL,LEVELS,RAMIFICATION,TREE_HEIGHT,base,rules,args,mddl,t,b,h,times
10,0.7,0.7,0.7,2,3,2,3,2,2,25.94,22.3,26.86,3.57,19.41,31.55,4.35,228.3
20,0.7,0.7,0.7,2,3,2,3,2,2,35.63,22.23,28.2,3.83,22.03,35.89,4.71,198.54
30,0.7,0.7,0.7,2,3,2,3,2,2,45.64,22.66,25.43,3.57,18.2,15.97,3.53,223.56
40,0.7,0.7,0.7,2,3,2,3,2,2,55.77,23.05,26.15,3.5,18.95,31.9,4.04,299.89
50,0.7,0.7,0.7,2,3,2,3,2,2,64.83,22.1,28.65,3.9,21.7,33.34,4.41,237.69
60,0.7,0.7,0.7,2,3,2,3,2,2,74.97,21.84,27.06,3.91,20.25,32.12,4.78,207.95
70,0.7,0.7,0.7,2,3,2,3,2,2,85.76,22.61,27.68,4.02,20.93,32.49,4.65,178.75
80,0.7,0.7,0.7,2,3,2,3,2,2,95.28,22.77,26.76,3.63,20.21,46.66,4.11,318.62
90,0.7,0.7,0.7,2,3,2,3,2,2,106.12,23.52,27.06,3.59,20.44,37.18,4.38,294.74
100,0.7,0.7,0.7,2,3,2,3,2,2,114.75,21.78,25.93,3.81,18.39,28.59,4.23,214.03
